player,age,goat,similarity,distance,data_cutoff,model_version
Bilal Coulibaly,19,LeBron James,38.3237892657933,1.6093453156850825,2023-24,V2
Blake Wesley,21,Magic Johnson,24.849020759945557,3.0243034510716513,2023-24,V2
Blake Wesley,21,LeBron James,23.65772314671567,3.2269494566252326,2023-24,V2
Bol Bol,24,Michael Jordan,25.30008029144713,2.952556626225637,2023-24,V2
Bol Bol,24,Magic Johnson,25.148061327747435,2.9764496633250896,2023-24,V2
Bol Bol,24,Kareem Abdul-Jabbar,24.13763866771297,3.1429073231493097,2023-24,V2
Bol Bol,24,Larry Bird,23.36386606450168,3.280113561853397,2023-24,V2
Bol Bol,24,LeBron James,20.48640870265001,3.8812850242055617,2023-24,V2
Brandin Podziemski,21,Magic Johnson,29.659617931954738,2.3715875986474457,2023-24,V2
Brandin Podziemski,21,LeBron James,28.295948100496485,2.534074901637432,2023-24,V2
Brandon Ingram,26,Larry Bird,28.221527901383233,2.543394260914508,2023-24,V2
Brandon Ingram,26,Magic Johnson,26.163060873825227,2.822182751561946,2023-24,V2
Brandon Ingram,26,LeBron James,25.81690692910645,2.8734307047161476,2023-24,V2
Brandon Ingram,26,Michael Jordan,24.004397555529874,3.1659033420300564,2023-24,V2
Brandon Ingram,26,Kareem Abdul-Jabbar,23.777432125475023,3.2056686135110652,2023-24,V2
Brandon Miller,21,Magic Johnson,31.50211742799579,2.1743897923233075,2023-24,V2
Brandon Miller,21,LeBron James,29.700669873526486,2.366927427085892,2023-24,V2
Bruce Brown,27,Larry Bird,24.69884626451579,3.0487721138483894,2023-24,V2
Bruce Brown,27,Kareem Abdul-Jabbar,22.597506805906193,3.4252669490894245,2023-24,V2
Bruce Brown,27,Magic Johnson,22.042940083138287,3.5365999101224634,2023-24,V2
Bruce Brown,27,Michael Jordan,21.936148246799316,3.5586854572151663,2023-24,V2
Bruce Brown,27,LeBron James,21.22116415520374,3.7122768227339935,2023-24,V2
Bruno Fernando,25,Larry Bird,26.33162099227394,2.7977153031840074,2023-24,V2
Bruno Fernando,25,Magic Johnson,24.402640948713497,3.0979171152076463,2023-24,V2
Bruno Fernando,25,Michael Jordan,23.069384881426416,3.334749301465416,2023-24,V2
Bruno Fernando,25,LeBron James,20.965806874637984,3.769670950320947,2023-24,V2
Bruno Fernando,25,Kareem Abdul-Jabbar,20.303159761864677,3.92534172872094,2023-24,V2
Bryce McGowens,21,Magic Johnson,25.360520110148208,2.943136795525902,2023-24,V2
Bryce McGowens,21,LeBron James,23.74712934044597,3.21103530310422,2023-24,V2
Cade Cunningham,22,LeBron James,41.26207267885886,1.4235331263724,2023-24,V2
Cade Cunningham,22,Michael Jordan,38.441342253418476,1.6013659809474337,2023-24,V2
Cade Cunningham,22,Magic Johnson,36.21779494733723,1.7610736695982119,2023-24,V2
Caleb Houstan,21,Magic Johnson,25.369731789148986,2.941705053530424,2023-24,V2
Caleb Houstan,21,LeBron James,23.544728731009027,3.2472351727840194,2023-24,V2
Cam Reddish,24,Larry Bird,25.764453529519677,2.881316554431274,2023-24,V2
Cam Reddish,24,Michael Jordan,23.951967990529294,3.175022279569696,2023-24,V2
Cam Reddish,24,Magic Johnson,19.12694142213066,4.228227440708104,2023-24,V2
Cam Reddish,24,LeBron James,18.656879634041832,4.359953109068537,2023-24,V2
Cam Reddish,24,Kareem Abdul-Jabbar,17.02947917089947,4.872170193606582,2023-24,V2
Cam Thomas,22,Michael Jordan,36.74570123827282,1.721406766782398,2023-24,V2
Cam Thomas,22,LeBron James,36.37360154951259,1.7492465892847504,2023-24,V2
Cam Thomas,22,Magic Johnson,32.95429552514327,2.0345057725085516,2023-24,V2
Cam Whitmore,19,LeBron James,38.745747994306946,1.5809283644412635,2023-24,V2
Cason Wallace,20,Magic Johnson,32.63429156827406,2.064261400949686,2023-24,V2
Cason Wallace,20,LeBron James,27.78491247260409,2.5990755809866215,2023-24,V2
Chet Holmgren,22,Michael Jordan,54.52227873637235,0.8341126291423512,2023-24,V2
Chet Holmgren,22,Magic Johnson,44.11805930652936,1.2666454864935606,2023-24,V2
Chet Holmgren,22,LeBron James,38.418159344552905,1.6029357394025812,2023-24,V2
Chimezie Metu,27,Larry Bird,23.03274753609949,3.341644427928924,2023-24,V2
Chimezie Metu,27,Kareem Abdul-Jabbar,22.357381734388444,3.4727956604233094,2023-24,V2
Chimezie Metu,27,Michael Jordan,21.969478301781127,3.551769442421976,2023-24,V2
Chimezie Metu,27,Magic Johnson,21.797800970252993,3.5876187298190274,2023-24,V2
Chimezie Metu,27,LeBron James,21.167978947988214,3.7241165652001897,2023-24,V2
Chris Duarte,27,Larry Bird,20.541573957843458,3.868176129308566,2023-24,V2
Chris Duarte,27,Kareem Abdul-Jabbar,18.517500245106806,4.400296944854892,2023-24,V2
Chris Duarte,27,Magic Johnson,18.08082214373541,4.530721955287177,2023-24,V2
Chris Duarte,27,Michael Jordan,17.988018033172573,4.559256156825348,2023-24,V2
Chris Duarte,27,LeBron James,17.43536602310035,4.735468923767282,2023-24,V2
