Name,PLAYER_ID,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,PTS,REB,AST,PPG,RPG,APG,PPG_Z,RPG_Z,APG_Z,PRODUCTION_Z,TS_PCT,TS_PLUS,TS_Z
LeBron James,2544,2021-22,LAL,37.0,56,2084.0,1695,459.0,349,30.267857142857142,8.196428571428571,6.232142857142857,3.2468946954741176,1.756184672559191,2.113256472912325,2.459590221831102,0.6191373717892522,110.61479872999445,1.0137556144916526
LeBron James,2544,2022-23,LAL,38.0,55,1954.0,1590,457.0,375,28.90909090909091,8.309090909090909,6.818181818181818,2.7165928410186497,1.8667659486711736,2.3254639313124414,2.3443061004025445,0.5833235501291383,101.66728180820705,0.1587440816024974
LeBron James,2544,2023-24,LAL,39.0,71,2504.0,1822,518.0,589,25.661971830985916,7.295774647887324,8.295774647887324,2.314234760113862,1.440180666542791,3.094651086140699,2.2861434298505916,0.6296828776023666,110.85313217640092,0.9392351071954712
Kareem Abdul-Jabbar,76003,1969-70,MIL,23.0,82,3534.0,2361,1190.0,337,28.79268292682927,14.512195121951219,4.109756097560975,2.509613192677424,2.517993645889908,0.8563264136707633,2.0161412949391706,0.5524306010519814,111.42090166847008,1.230593236438747
Kareem Abdul-Jabbar,76003,1970-71,MIL,24.0,82,3288.0,2596,1311.0,272,31.658536585365855,15.987804878048781,3.317073170731707,3.031826425456695,2.8851937187529497,0.5324852587960985,2.2380342634473926,0.6057947205316806,126.18725378053006,2.3905166917413077
Kareem Abdul-Jabbar,76003,1971-72,MIL,25.0,81,3583.0,2822,1346.0,370,34.839506172839506,16.617283950617285,4.567901234567901,3.430697050169378,3.029986045873353,1.182070752541515,2.6358958595922113,0.6027132776325457,124.77270990808648,2.1401573196181096
Kareem Abdul-Jabbar,76003,1972-73,MIL,26.0,76,3254.0,2292,1224.0,379,30.157894736842106,16.105263157894736,4.9868421052631575,2.8635502411751412,2.9666151285664126,1.303542823649606,2.4264674821348624,0.5804294975688816,120.06829019812098,1.8501987390762107
Kareem Abdul-Jabbar,76003,1973-74,MIL,27.0,81,3548.0,2191,1178.0,386,27.049382716049383,14.54320987654321,4.765432098765432,2.530382944847229,2.908989665015114,1.3380960898684415,2.286278904403958,0.5635867887642761,114.7766896217724,1.6385120255846974
Kareem Abdul-Jabbar,76003,1974-75,MIL,28.0,65,2747.0,1949,912.0,264,29.984615384615385,14.03076923076923,4.061538461538461,3.1801172338366923,2.951428557118846,1.0866597475095436,2.483473384923194,0.5501174185972993,112.05040515309186,1.3458455730586332
Kareem Abdul-Jabbar,76003,1975-76,LAL,29.0,82,3379.0,2275,1383.0,413,27.74390243902439,16.865853658536587,5.036585365853658,2.9385295560096107,3.9443710835675114,1.777948130596253,2.8921075866529735,0.5665292055143837,114.9809083880524,1.5835317538939173
